image,category,subcategory,repeat,Unnamed: 3,task,block,presentation
BB-WA-Zillah-Teapot_Gas_Station.jpg,scenes,manmade,1,,1back,24,1
BB-WA-Zillah-Teapot_Gas_Station.jpg,scenes,manmade,1,,1back,24,2
CFD-WF-027-003-N.jpg,faces,female,0,,1back,24,1
forest_01_01_google.jpg,scenes,natural,0,,1back,24,1
CFD-LF-213-079-N.jpg,faces,female,1,,1back,24,1
CFD-LF-213-079-N.jpg,faces,female,1,,1back,24,2
CFD-BF-045-003-N.jpg,faces,female,1,,1back,24,1
CFD-BF-045-003-N.jpg,faces,female,1,,1back,24,2
workglove02c.jpg,objects,manmade,0,,1back,24,1
des16.jpg,scenes,natural,0,,1back,24,1
CFD-WM-023-001-N.jpg,faces,male,1,,1back,24,1
CFD-WM-023-001-N.jpg,faces,male,1,,1back,24,2
field_05_06_ask.jpg,scenes,natural,0,,1back,24,1
148935652_2973783807.jpg,scenes,manmade,0,,1back,24,1
n457042.jpg,scenes,manmade,0,,1back,24,1
jeep.jpg,objects,manmade,1,,1back,24,1
jeep.jpg,objects,manmade,1,,1back,24,2
weight04c.jpg,objects,manmade,0,,1back,24,1
nutcracker01.jpg,objects,manmade,1,,1back,24,1
nutcracker01.jpg,objects,manmade,1,,1back,24,2
roomscan11.jpg,scenes,manmade,0,,1back,24,1
CFD-LM-216-082-N.jpg,faces,male,0,,1back,24,1
lynx01.jpg,objects,natural,0,,1back,24,1
tulip01.jpg,objects,natural,0,,1back,24,1
VA-03-00-0002-06_l.jpg,scenes,manmade,1,,1back,24,1
VA-03-00-0002-06_l.jpg,scenes,manmade,1,,1back,24,2
CFD-BM-236-248-N.jpg,faces,male,0,,1back,24,1
nat947.jpg,scenes,natural,1,,1back,24,1
nat947.jpg,scenes,natural,1,,1back,24,2
art869.jpg,scenes,manmade,0,,1back,24,1
CFD-WM-216-061-N.jpg,faces,male,0,,1back,24,1
1889095-Turtle_Island_Busuanga_Palawan-Palawan.jpg,scenes,natural,0,,1back,24,1
FreeFoto_beach_24_45.jpg,scenes,natural,0,,1back,24,1
CFD-BM-235-226-N.jpg,faces,male,0,,1back,24,1
CFD-WM-218-074-N.jpg,faces,male,0,,1back,24,1
A549054.jpg,scenes,manmade,0,,1back,24,1
cherrypicker.jpg,objects,manmade,0,,1back,24,1
badger.jpg,objects,natural,1,,1back,24,1
badger.jpg,objects,natural,1,,1back,24,2
