image,category,subcategory,repeat,Unnamed: 3,task,block,presentation
heron02.jpg,objects,natural,0,,2back,5,1
CFD-LM-228-188-N.jpg,faces,male,0,,2back,5,1
warehouse-499.jpg,scenes,manmade,0,,2back,5,1
canyon_05_01_ask.jpg,scenes,natural,0,,2back,5,1
gym2.jpg,scenes,manmade,0,,2back,5,1
muskox.jpg,objects,natural,0,,2back,5,1
dalmatian.jpg,objects,natural,0,,2back,5,1
480075.jpg,scenes,manmade,1,,2back,5,1
stream01_640.jpg,scenes,natural,0,,2back,5,1
480075.jpg,scenes,manmade,1,,2back,5,2
classroom-001.jpg,scenes,manmade,0,,2back,5,1
morrison-garden.jpg,scenes,manmade,0,,2back,5,1
land645.jpg,scenes,natural,0,,2back,5,1
flugglehorn.jpg,objects,manmade,0,,2back,5,1
wheel01.jpg,objects,manmade,0,,2back,5,1
thumbtack02a.jpg,objects,manmade,1,,2back,5,1
taillight.jpg,objects,manmade,1,,2back,5,1
thumbtack02a.jpg,objects,manmade,1,,2back,5,2
taillight.jpg,objects,manmade,1,,2back,5,2
plant09.jpg,objects,natural,0,,2back,5,1
FreeFoto_house_15_36.jpg,scenes,manmade,1,,2back,5,1
CFD-BF-226-119-N.jpg,faces,female,1,,2back,5,1
FreeFoto_house_15_36.jpg,scenes,manmade,1,,2back,5,2
CFD-BF-226-119-N.jpg,faces,female,1,,2back,5,2
CFD-WM-245-123-N.jpg,faces,male,1,,2back,5,1
CFD-BF-228-212-N.jpg,faces,female,0,,2back,5,1
CFD-WM-245-123-N.jpg,faces,male,1,,2back,5,2
CFD-WF-209-052-N.jpg,faces,female,0,,2back,5,1
windshieldwiper02.jpg,objects,manmade,0,,2back,5,1
FreeFoto_river_36_44.jpg,scenes,natural,0,,2back,5,1
CFD-WM-029-023-N.jpg,faces,male,0,,2back,5,1
b4.jpg,scenes,manmade,0,,2back,5,1
electricmixer.jpg,objects,manmade,0,,2back,5,1
CFD-WM-216-061-N.jpg,faces,male,0,,2back,5,1
CFD-BF-200-080-N.jpg,faces,female,0,,2back,5,1
CFD-AM-252-114-N.jpg,faces,male,0,,2back,5,1
CFD-WM-238-020-N.jpg,faces,male,1,,2back,5,1
A549048.jpg,scenes,manmade,0,,2back,5,1
CFD-WM-238-020-N.jpg,faces,male,1,,2back,5,2
n44002.jpg,scenes,natural,0,,2back,5,1
CFD-BF-050-003-N.jpg,faces,female,0,,2back,5,1
CFD-BF-252-191-N.jpg,faces,female,0,,2back,5,1
field_05_05_ask.jpg,scenes,natural,0,,2back,5,1
CFD-WF-022-017-N.jpg,faces,female,1,,2back,5,1
gym07.jpg,scenes,manmade,1,,2back,5,1
CFD-WF-022-017-N.jpg,faces,female,1,,2back,5,2
gym07.jpg,scenes,manmade,1,,2back,5,2
apple07.jpg,objects,natural,1,,2back,5,1
cdMC727.jpg,scenes,natural,0,,2back,5,1
apple07.jpg,objects,natural,1,,2back,5,2
gorilla.jpg,objects,natural,0,,2back,5,1
1889095-Turtle_Island_Busuanga_Palawan-Palawan.jpg,scenes,natural,0,,2back,5,1
duck01.jpg,objects,natural,0,,2back,5,1
FreeFoto_forest_2_48.jpg,scenes,natural,1,,2back,5,1
FreeFoto_river_2_16.jpg,scenes,natural,1,,2back,5,1
FreeFoto_forest_2_48.jpg,scenes,natural,1,,2back,5,2
FreeFoto_river_2_16.jpg,scenes,natural,1,,2back,5,2
lipstick03a.jpg,objects,manmade,0,,2back,5,1
CFD-BM-219-141-N.jpg,faces,male,1,,2back,5,1
weight04c.jpg,objects,manmade,1,,2back,5,1
CFD-BM-219-141-N.jpg,faces,male,1,,2back,5,2
weight04c.jpg,objects,manmade,1,,2back,5,2
CFD-WM-257-161-N.jpg,faces,male,0,,2back,5,1
bowlingalley.jpg,scenes,manmade,1,,2back,5,1
leaf04.jpg,objects,natural,0,,2back,5,1
bowlingalley.jpg,scenes,manmade,1,,2back,5,2
jeans01.jpg,objects,manmade,0,,2back,5,1
hammerheadshark.jpg,objects,natural,1,,2back,5,1
CFD-BM-230-232-N.jpg,faces,male,1,,2back,5,1
hammerheadshark.jpg,objects,natural,1,,2back,5,2
CFD-BM-230-232-N.jpg,faces,male,1,,2back,5,2
fusilli02b.jpg,objects,manmade,0,,2back,5,1
restau.04.jpg,scenes,manmade,0,,2back,5,1
tenniscourt-2.jpg,scenes,manmade,0,,2back,5,1
FreeFoto_coast_2_16.jpg,scenes,natural,0,,2back,5,1
CFD-WM-242-011-N.jpg,faces,male,1,,2back,5,1
cherrypicker.jpg,objects,manmade,0,,2back,5,1
CFD-WM-242-011-N.jpg,faces,male,1,,2back,5,2
spacerocket.jpg,objects,manmade,1,,2back,5,1
FreeFoto_coast_2_18.jpg,scenes,natural,0,,2back,5,1
spacerocket.jpg,objects,manmade,1,,2back,5,2
hairclipper.jpg,objects,manmade,0,,2back,5,1
CFD-AF-205-155-N.jpg,faces,female,0,,2back,5,1
lawnmowertractor.jpg,objects,manmade,0,,2back,5,1
TropicalJardin.jpg,scenes,manmade,0,,2back,5,1
bea10.jpg,scenes,natural,0,,2back,5,1
CFD-BM-019-002-N.jpg,faces,male,0,,2back,5,1
CFD-WF-035-024-N.jpg,faces,female,1,,2back,5,1
CFD-BM-236-248-N.jpg,faces,male,0,,2back,5,1
CFD-WF-035-024-N.jpg,faces,female,1,,2back,5,2
b_791051.jpg,scenes,manmade,0,,2back,5,1
CFD-BF-020-002-N.jpg,faces,female,1,,2back,5,1
CFD-WF-003-003-N.jpg,faces,female,0,,2back,5,1
CFD-BF-020-002-N.jpg,faces,female,1,,2back,5,2
CFD-AF-229-160-N.jpg,faces,female,0,,2back,5,1
shrimp.jpg,objects,natural,0,,2back,5,1
CFD-LF-227-054-N.jpg,faces,female,0,,2back,5,1
1147453287.jpg,scenes,natural,0,,2back,5,1
11081stream.jpg,scenes,natural,1,,2back,5,1
CFD-WM-020-001-N.jpg,faces,male,0,,2back,5,1
11081stream.jpg,scenes,natural,1,,2back,5,2
breadslice.jpg,objects,manmade,1,,2back,5,1
land364.jpg,scenes,natural,1,,2back,5,1
breadslice.jpg,objects,manmade,1,,2back,5,2
land364.jpg,scenes,natural,1,,2back,5,2
CFD-AM-224-126-N.jpg,faces,male,0,,2back,5,1
senedd-construction-site-200803-th-2.jpg,scenes,manmade,0,,2back,5,1
CFD-LF-220-120-N.jpg,faces,female,0,,2back,5,1
12first_campsite.jpg,scenes,manmade,1,,2back,5,1
forest_01_01_ask.jpg,scenes,natural,1,,2back,5,1
12first_campsite.jpg,scenes,manmade,1,,2back,5,2
forest_01_01_ask.jpg,scenes,natural,1,,2back,5,2
egg02.jpg,objects,natural,0,,2back,5,1
Playground-2568.jpg,scenes,manmade,0,,2back,5,1
horseshoecrab.jpg,objects,natural,0,,2back,5,1
CFD-WM-208-068-N.jpg,faces,male,0,,2back,5,1
teapot.jpg,objects,manmade,0,,2back,5,1
plum02.jpg,objects,natural,1,,2back,5,1
CFD-BF-034-002-N.jpg,faces,female,1,,2back,5,1
plum02.jpg,objects,natural,1,,2back,5,2
CFD-BF-034-002-N.jpg,faces,female,1,,2back,5,2
date.jpg,objects,natural,0,,2back,5,1
index1.jpg,scenes,natural,1,,2back,5,1
CFD-LF-254-125-N.jpg,faces,female,0,,2back,5,1
index1.jpg,scenes,natural,1,,2back,5,2
cloud.jpg,objects,natural,1,,2back,5,1
CFD-WM-203-023-N.jpg,faces,male,1,,2back,5,1
cloud.jpg,objects,natural,1,,2back,5,2
CFD-WM-203-023-N.jpg,faces,male,1,,2back,5,2
mountain86.jpg,scenes,natural,0,,2back,5,1
cabbage.jpg,objects,natural,0,,2back,5,1
CFD-LM-217-162-N.jpg,faces,male,0,,2back,5,1
scale01b.jpg,objects,manmade,1,,2back,5,1
saltshaker03b.jpg,objects,manmade,0,,2back,5,1
scale01b.jpg,objects,manmade,1,,2back,5,2
walnut01b.jpg,objects,natural,1,,2back,5,1
pineapple01b.jpg,objects,natural,1,,2back,5,1
walnut01b.jpg,objects,natural,1,,2back,5,2
pineapple01b.jpg,objects,natural,1,,2back,5,2
CFD-BM-208-065-N.jpg,faces,male,0,,2back,5,1
parkfountain.jpg,objects,manmade,0,,2back,5,1
crab01.jpg,objects,natural,0,,2back,5,1
CFD-LF-231-260-N.jpg,faces,female,0,,2back,5,1
beach_11_02_ask.jpg,scenes,natural,0,,2back,5,1
finishedbarn.jpg,scenes,manmade,1,,2back,5,1
CFD-BM-244-197-N.jpg,faces,male,0,,2back,5,1
finishedbarn.jpg,scenes,manmade,1,,2back,5,2
watch03a.jpg,objects,manmade,0,,2back,5,1
CFD-LF-247-051-N.jpg,faces,female,0,,2back,5,1
CFD-AF-255-209-N.jpg,faces,female,1,,2back,5,1
CFD-WM-039-018-N.jpg,faces,male,0,,2back,5,1
CFD-AF-255-209-N.jpg,faces,female,1,,2back,5,2
badger.jpg,objects,natural,0,,2back,5,1
CFD-BF-238-190-N.jpg,faces,female,0,,2back,5,1
CaravanBar.jpg,scenes,manmade,0,,2back,5,1
grocery.jpg,scenes,manmade,0,,2back,5,1
bathroom0002.jpg,scenes,manmade,0,,2back,5,1
CFD-WM-249-239-N.jpg,faces,male,0,,2back,5,1
CFD-BM-016-036-N.jpg,faces,male,0,,2back,5,1
int347.jpg,scenes,manmade,0,,2back,5,1
CFD-WF-013-003-N.jpg,faces,female,0,,2back,5,1
CFD-BM-228-145-N.jpg,faces,male,1,,2back,5,1
toucan.jpg,objects,natural,0,,2back,5,1
CFD-BM-228-145-N.jpg,faces,male,1,,2back,5,2
barnowl.jpg,objects,natural,0,,2back,5,1
int637.jpg,scenes,manmade,0,,2back,5,1
level01a.jpg,objects,manmade,0,,2back,5,1
snail.jpg,objects,natural,0,,2back,5,1
hippopotamus.jpg,objects,natural,0,,2back,5,1
starfish01.jpg,objects,natural,0,,2back,5,1
fryingpan01.jpg,objects,manmade,0,,2back,5,1
toothbrush04a.jpg,objects,manmade,0,,2back,5,1
CFD-WM-215-041-N.jpg,faces,male,0,,2back,5,1
CFD-BF-223-250-N.jpg,faces,female,0,,2back,5,1
Campsite23.jpg,scenes,manmade,1,,2back,5,1
CFD-BF-225-192-N.jpg,faces,female,1,,2back,5,1
Campsite23.jpg,scenes,manmade,1,,2back,5,2
CFD-BF-225-192-N.jpg,faces,female,1,,2back,5,2
NA004783.jpg,scenes,natural,1,,2back,5,1
DinningRoom1.jpg,scenes,manmade,0,,2back,5,1
NA004783.jpg,scenes,natural,1,,2back,5,2
bolt01b.jpg,objects,manmade,1,,2back,5,1
supermarche33-1.jpg,scenes,manmade,0,,2back,5,1
bolt01b.jpg,objects,manmade,1,,2back,5,2
beach_26_19_altavista.jpg,scenes,natural,1,,2back,5,1
Swimming_pool2.jpg,scenes,manmade,0,,2back,5,1
beach_26_19_altavista.jpg,scenes,natural,1,,2back,5,2
mechanicalpencil02.jpg,objects,manmade,0,,2back,5,1
Igloo_outside.jpg,scenes,natural,0,,2back,5,1
CFD-AF-227-207-N.jpg,faces,female,0,,2back,5,1
big-blue-iceberg.jpg,scenes,natural,0,,2back,5,1
panda.jpg,objects,natural,0,,2back,5,1
squid.jpg,objects,natural,1,,2back,5,1
grape01.jpg,objects,natural,1,,2back,5,1
squid.jpg,objects,natural,1,,2back,5,2
grape01.jpg,objects,natural,1,,2back,5,2
calanques_22_13_altavista.jpg,scenes,natural,0,,2back,5,1
r_251092.jpg,scenes,natural,0,,2back,5,1
door.jpg,objects,manmade,1,,2back,5,1
FreeFoto_mountain_6_42.jpg,scenes,natural,1,,2back,5,1
door.jpg,objects,manmade,1,,2back,5,2
FreeFoto_mountain_6_42.jpg,scenes,natural,1,,2back,5,2
rice.jpg,objects,natural,1,,2back,5,1
CFD-LF-225-164-N.jpg,faces,female,0,,2back,5,1
rice.jpg,objects,natural,1,,2back,5,2
pepper01.jpg,objects,natural,1,,2back,5,1
Off-Library.jpg,scenes,manmade,1,,2back,5,1
pepper01.jpg,objects,natural,1,,2back,5,2
Off-Library.jpg,scenes,manmade,1,,2back,5,2
nat947.jpg,scenes,natural,1,,2back,5,1
int437.jpg,scenes,manmade,0,,2back,5,1
nat947.jpg,scenes,natural,1,,2back,5,2
walldeco01.jpg,objects,manmade,0,,2back,5,1
cantaloupe02.jpg,objects,natural,1,,2back,5,1
226513073_9c7038891f.jpg,scenes,manmade,1,,2back,5,1
cantaloupe02.jpg,objects,natural,1,,2back,5,2
226513073_9c7038891f.jpg,scenes,manmade,1,,2back,5,2
CFD-AF-248-148-N.jpg,faces,female,1,,2back,5,1
sneaker01a.jpg,objects,manmade,0,,2back,5,1
CFD-AF-248-148-N.jpg,faces,female,1,,2back,5,2
watermelon01.jpg,objects,natural,0,,2back,5,1
CFD-WF-026-002-N.jpg,faces,female,0,,2back,5,1
CFD-WF-015-006-N.jpg,faces,female,1,,2back,5,1
stuffedpuffin.jpg,objects,manmade,0,,2back,5,1
CFD-WF-015-006-N.jpg,faces,female,1,,2back,5,2
sunflowerseeds.jpg,objects,natural,0,,2back,5,1
canyon_25_04_askl.jpg,scenes,natural,1,,2back,5,1
CFD-BF-201-080-N.jpg,faces,female,0,,2back,5,1
canyon_25_04_askl.jpg,scenes,natural,1,,2back,5,2
CFD-LM-216-082-N.jpg,faces,male,1,,2back,5,1
till_gravel_underwater-2.jpg,scenes,natural,0,,2back,5,1
CFD-LM-216-082-N.jpg,faces,male,1,,2back,5,2
seashell01.jpg,objects,natural,0,,2back,5,1
natu3.jpg,scenes,natural,0,,2back,5,1
baguette02b.jpg,objects,manmade,0,,2back,5,1
url3.jpg,scenes,manmade,0,,2back,5,1
level03a.jpg,objects,manmade,0,,2back,5,1
CFD-LM-241-125-N.jpg,faces,male,0,,2back,5,1
CFD-WM-212-097-N.jpg,faces,male,1,,2back,5,1
CFD-BM-227-191-N.jpg,faces,male,1,,2back,5,1
CFD-WM-212-097-N.jpg,faces,male,1,,2back,5,2
CFD-BM-227-191-N.jpg,faces,male,1,,2back,5,2
PoolesCavern2A.jpg,scenes,natural,1,,2back,5,1
CFD-WF-008-002-N.jpg,faces,female,0,,2back,5,1
PoolesCavern2A.jpg,scenes,natural,1,,2back,5,2
g_vigoenfotos_1934d.jpg,scenes,manmade,0,,2back,5,1
CFD-WM-234-118-N.jpg,faces,male,0,,2back,5,1
FreeFoto_forest_14_16.jpg,scenes,natural,0,,2back,5,1
CFD-WM-253-119-N.jpg,faces,male,1,,2back,5,1
CFD-BM-023-029-N.jpg,faces,male,0,,2back,5,1
CFD-WM-253-119-N.jpg,faces,male,1,,2back,5,2
CFD-BM-001-014-N.jpg,faces,male,1,,2back,5,1
CFD-WM-256-138-N.jpg,faces,male,0,,2back,5,1
CFD-BM-001-014-N.jpg,faces,male,1,,2back,5,2
CFD-BF-254-201-N.jpg,faces,female,0,,2back,5,1
cherry01.jpg,objects,natural,0,,2back,5,1
148935652_2973783807.jpg,scenes,manmade,0,,2back,5,1
Santos_Campground.jpg,scenes,manmade,0,,2back,5,1
gift01.jpg,objects,manmade,1,,2back,5,1
CFD-WF-023-003-N.jpg,faces,female,0,,2back,5,1
gift01.jpg,objects,manmade,1,,2back,5,2
CFD-AM-202-079-N.jpg,faces,male,0,,2back,5,1
RedBarn_S2.jpg,scenes,manmade,0,,2back,5,1
artichoke01a.jpg,objects,natural,0,,2back,5,1
CFD-LF-210-220-N.jpg,faces,female,1,,2back,5,1
b_chute_moreau.jpg,scenes,natural,0,,2back,5,1
CFD-LF-210-220-N.jpg,faces,female,1,,2back,5,2
CFD-WM-233-106-N.jpg,faces,male,0,,2back,5,1
FreeFoto_forest_13_49.jpg,scenes,natural,0,,2back,5,1
build857.jpg,scenes,manmade,0,,2back,5,1
